--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 50.00 ºC
Calienta como maximo la T° del Agua a 90.00 ºC
No se termino el ciclo debido a falta de tiempo
Tiempo	Amb	Agua	Estado Control [0/1]	
952001	23.62	81.87	0	
954001	23.62	81.81	0	
956001	23.62	81.81	0	
958001	23.62	81.81	0	
960001	23.62	81.75	0	
962001	23.62	81.75	0	
964001	23.62	81.69	0	
966001	23.62	81.69	0	
968001	23.62	81.62	0	
970001	23.62	81.62	0	
972001	23.62	81.62	0	
974001	23.62	81.62	0	
976001	23.62	81.56	0	
978001	23.62	81.56	0	
980001	23.62	81.50	0	
982001	23.56	81.50	0	
984001	23.62	81.44	0	
986001	23.62	81.44	0	
988001	23.62	81.37	0	
990001	23.62	81.31	0	
992001	23.62	81.31	0	
994001	23.62	81.31	0	
996001	23.62	81.31	0	
998001	23.62	81.25	0	
1000001	23.62	81.25	0	
1002001	23.62	81.25	0	
1004001	23.62	81.19	0	
1006001	23.62	81.19	0	
1008001	23.62	81.19	0	
1010001	23.62	81.12	0	
1012001	23.62	81.12	0	
1014001	23.62	81.06	0	
1016001	23.62	81.06	0	
1018001	23.62	81.00	0	
1020001	23.62	80.94	0	
1022001	23.62	80.94	0	
1024001	23.62	80.94	0	
1026001	23.62	80.87	0	
1028001	23.62	80.81	0	
1030001	23.62	80.81	0	
1032001	23.62	80.75	0	
1034001	23.62	80.75	0	
1036001	23.62	80.69	0	
1038001	23.62	80.69	0	
1040001	23.69	80.69	0	
1042001	23.69	80.69	0	
1044001	23.62	80.69	0	
1046001	23.62	80.62	0	
1048001	23.62	80.62	0	
1050001	23.62	80.62	0	
1052001	23.69	80.56	0	
1054001	23.62	80.50	0	
1056001	23.62	80.50	0	
1058001	23.62	80.44	0	
1060001	23.69	80.37	0	
1062001	23.62	80.37	0	
1064001	23.62	80.37	0	
1066001	23.62	80.37	0	
1068001	23.62	80.31	0	
1070001	23.62	80.31	0	
1072001	23.56	80.25	0	
1074001	23.56	80.25	0	
1076001	23.56	80.25	0	
1078001	23.56	80.19	0	
1080001	23.56	80.19	0	
1082001	23.56	80.12	0	
1084001	23.56	80.12	0	
1086001	23.56	80.06	0	
1088001	23.56	80.06	0	
1090001	23.56	80.00	0	
1092001	23.62	80.00	0	
1094001	23.62	79.94	0	
1096001	23.62	79.94	0	
1098001	23.62	79.87	0	
1100001	23.56	79.94	0	
1102001	23.62	79.87	0	
1104001	23.62	79.87	0	
1106001	23.62	79.81	0	
1108001	23.62	79.81	0	
1110001	23.62	79.75	0	
1112001	23.62	79.75	0	
1114001	23.62	79.75	0	
1116001	23.62	79.69	0	
1118001	23.62	79.69	0	
1120001	23.62	79.69	0	
1122001	23.62	79.62	0	
1124001	23.56	79.62	0	
1126001	23.62	79.56	0	
1128001	23.62	79.56	0	
1130001	23.62	79.56	0	
1132001	23.56	79.56	0	
1134001	23.62	79.50	0	
1136001	23.62	79.44	0	
1138001	23.62	79.44	0	
1140001	23.62	79.44	0	
1142001	23.62	79.37	0	
1144001	23.62	79.37	0	
1146001	23.62	79.37	0	
1148001	23.62	79.31	0	
1150001	23.62	79.31	0	
1152001	23.62	79.31	0	
1154001	23.62	79.25	0	
1156001	23.62	79.25	0	
1158001	23.62	79.19	0	
1160001	23.62	79.12	0	
1162001	23.62	79.12	0	
1164001	23.62	79.12	0	
1166001	23.62	79.06	0	
1168001	23.62	79.06	0	
1170001	23.62	79.06	0	
1172001	23.62	79.00	0	
1174001	23.69	78.94	0	
1176001	23.69	78.94	0	
1178001	23.69	78.87	0	
1180001	23.62	78.87	0	
1182001	23.62	78.87	0	
1184001	23.69	78.81	0	
1186001	23.69	78.81	0	
1188001	23.62	78.75	0	
1190001	23.62	78.75	0	
1192001	23.62	78.69	0	
1194001	23.69	78.69	0	
1196001	23.62	78.62	0	
1198001	23.62	78.62	0	
1200001	23.62	78.56	0	
1202001	23.62	78.56	0	
1204001	23.62	78.56	0	
1206001	23.62	78.56	0	
1208001	23.62	78.56	0	
1210001	23.62	78.56	0	
